jday,jday_day,jday_time,Fd_7098,Fd_7085,dV_ 7098,dV_7085
208.6875,208,0.6875,0.049024904,NaN,-0.216,NaN
208.6944444,208,0.694444444,0.049034423,NaN,-0.216,NaN
208.7013889,208,0.701388889,0.047154339,NaN,-0.217,NaN
208.7083333,208,0.708333333,0.045304993,NaN,-0.218,NaN
208.7152778,208,0.715277778,0.043486126,NaN,-0.219,NaN
208.7222222,208,0.722222222,0.031550282,NaN,-0.226,NaN
208.7291667,208,0.729166667,0.031557392,NaN,-0.226,NaN
208.7361111,208,0.736111111,0.02997674,NaN,-0.227,NaN
208.7430556,208,0.743055556,0.025396251,NaN,-0.23,NaN
208.75,208,0.75,0.022490218,NaN,-0.232,NaN
208.7569444,208,0.756944444,0.018347488,NaN,-0.235,NaN
208.7638889,208,0.763888889,0.019705999,NaN,-0.234,NaN
208.7708333,208,0.770833333,0.015739963,NaN,-0.237,NaN
208.7777778,208,0.777777778,0.014480907,NaN,-0.238,NaN
208.7847222,208,0.784722222,0.018366739,NaN,-0.235,NaN
208.7916667,208,0.791666667,0.021108005,NaN,-0.233,NaN
208.7986111,208,0.798611111,0.019728953,NaN,-0.234,NaN
208.8055556,208,0.805555556,0.017054925,NaN,-0.236,NaN
208.8125,208,0.8125,0.014500337,NaN,-0.238,NaN
208.8194444,208,0.819444444,0.014503677,NaN,-0.238,NaN
208.8263889,208,0.826388889,0.012071138,NaN,-0.24,NaN
208.8333333,208,0.833333333,0.009765438,NaN,-0.242,NaN
208.8402778,208,0.840277778,0.008663379,NaN,-0.243,NaN
208.8472222,208,0.847222222,0.006561542,NaN,-0.245,NaN
208.8541667,208,0.854166667,0.008667937,NaN,-0.243,NaN
208.8611111,208,0.861111111,0.005569157,NaN,-0.246,NaN
208.8680556,208,0.868055556,0.006567359,NaN,-0.245,NaN
208.875,208,0.875,0.005572511,NaN,-0.246,NaN
208.8819444,208,0.881944444,0.005573998,NaN,-0.246,NaN
208.8888889,208,0.888888889,0.0076064,NaN,-0.244,NaN
208.8958333,208,0.895833333,0.007607726,NaN,-0.244,NaN
208.9027778,208,0.902777778,0.002841875,NaN,-0.249,NaN
208.9097222,208,0.909722222,0.005578726,NaN,-0.246,NaN
208.9166667,208,0.916666667,0.004622964,NaN,-0.247,NaN
208.9236111,208,0.923611111,0.002031802,NaN,-0.25,NaN
208.9305556,208,0.930555556,0.002032345,NaN,-0.25,NaN
208.9375,208,0.9375,0.0020328,NaN,-0.25,NaN
208.9444444,208,0.944444444,0.001284102,NaN,-0.251,NaN
208.9513889,208,0.951388889,0.002033456,NaN,-0.25,NaN
208.9583333,208,0.958333333,0.007614217,NaN,-0.244,NaN
